id,name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_per_person
2539,Clean & quiet apt home by the park,John,Brooklyn,Kensington,40.64749,-73.97237,Private room,149,1,9,2018-10-19 00:00:00,0.21,6,365,74.5
2595,Skylit Midtown Castle,Jennifer,Manhattan,Midtown,40.75362,-73.98377,Entire home/apt,225,1,45,2019-05-21 00:00:00,0.38,2,355,112.5
3647,THE VILLAGE OF HARLEM....NEW YORK !,Elisabeth,Manhattan,Harlem,40.80902,-73.9419,Private room,150,3,0,No Review,0.0,1,365,37.5
3831,Cozy Entire Floor of Brownstone,LisaRoxanne,Brooklyn,Clinton Hill,40.68514,-73.95976,Entire home/apt,89,1,270,2019-07-05 00:00:00,4.64,1,194,44.5
5022,Entire Apt: Spacious Studio/Loft by central park,Laura,Manhattan,East Harlem,40.79851,-73.94399,Entire home/apt,80,10,9,2018-11-19 00:00:00,0.1,1,0,7.27
5099,Large Cozy 1 BR Apartment In Midtown East,Chris,Manhattan,Murray Hill,40.74767,-73.975,Entire home/apt,200,3,74,2019-06-22 00:00:00,0.59,1,129,50.0
5121,BlissArtsSpace!,Garon,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,Private room,60,45,49,2017-10-05 00:00:00,0.4,1,0,1.3
5178,Large Furnished Room Near B'way ,Shunichi,Manhattan,Hell's Kitchen,40.76489,-73.98493,Private room,79,2,430,2019-06-24 00:00:00,3.47,1,220,26.33
5203,Cozy Clean Guest Room - Family Apt,MaryEllen,Manhattan,Upper West Side,40.80178,-73.96723,Private room,79,2,118,2017-07-21 00:00:00,0.99,1,0,26.33
5238,Cute & Cozy Lower East Side 1 bdrm,Ben,Manhattan,Chinatown,40.71344,-73.99037,Entire home/apt,150,1,160,2019-06-09 00:00:00,1.33,4,188,75.0
5295,Beautiful 1br on Upper West Side,Lena,Manhattan,Upper West Side,40.80316,-73.96545,Entire home/apt,135,5,53,2019-06-22 00:00:00,0.43,1,6,22.5
5441,Central Manhattan/near Broadway,Kate,Manhattan,Hell's Kitchen,40.76076,-73.98867,Private room,85,2,188,2019-06-23 00:00:00,1.5,1,39,28.33
5803,"Lovely Room 1, Garden, Best Area, Legal rental",Laurie,Brooklyn,South Slope,40.66829,-73.98779,Private room,89,4,167,2019-06-24 00:00:00,1.34,3,314,17.8
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,Claudio,Manhattan,Upper West Side,40.79826,-73.96113,Private room,85,2,113,2019-07-05 00:00:00,0.91,1,333,28.33
6090,West Village Nest - Superhost,Alina,Manhattan,West Village,40.7353,-74.00525,Entire home/apt,120,90,27,2018-10-31 00:00:00,0.22,1,0,1.32
6848,Only 2 stops to Manhattan studio,Allen & Irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,2019-06-29 00:00:00,1.2,1,46,46.67
7097,Perfect for Your Parents + Garden,Jane,Brooklyn,Fort Greene,40.69169,-73.97185,Entire home/apt,215,2,198,2019-06-28 00:00:00,1.72,1,321,71.67
7322,Chelsea Perfect,Doti,Manhattan,Chelsea,40.74192,-73.99501,Private room,140,1,260,2019-07-01 00:00:00,2.12,1,12,70.0
7726,Hip Historic Brownstone Apartment with Backyard,Adam And Charity,Brooklyn,Crown Heights,40.67592,-73.94694,Entire home/apt,99,3,53,2019-06-22 00:00:00,4.44,1,21,24.75
7750,Huge 2 BR Upper East  Cental Park,Sing,Manhattan,East Harlem,40.79685,-73.94872,Entire home/apt,190,7,0,No Review,0.0,2,249,23.75
7801,Sweet and Spacious Brooklyn Loft,Chaya,Brooklyn,Williamsburg,40.71842,-73.95718,Entire home/apt,299,3,9,2011-12-28 00:00:00,0.07,1,0,74.75
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,Lisel,Brooklyn,Park Slope,40.68069,-73.97706,Private room,130,2,130,2019-07-01 00:00:00,1.09,6,347,43.33
8025,CBG Helps Haiti Room#2.5,Lisel,Brooklyn,Park Slope,40.67989,-73.97798,Private room,80,1,39,2019-01-01 00:00:00,0.37,6,364,40.0
8110,CBG Helps Haiti Rm #2,Lisel,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,2019-07-02 00:00:00,0.61,6,304,36.67
8490,"MAISON DES SIRENES1,bohemian apartment",Nathalie,Brooklyn,Bedford-Stuyvesant,40.68371,-73.94028,Entire home/apt,120,2,88,2019-06-19 00:00:00,0.73,2,233,40.0
8505,Sunny Bedroom Across Prospect Park,Gregory,Brooklyn,Windsor Terrace,40.65599,-73.97519,Private room,60,1,19,2019-06-23 00:00:00,1.37,2,85,30.0
8700,Magnifique Suite au N de Manhattan - vue Cloitres,Claude & Sophie,Manhattan,Inwood,40.86754,-73.92639,Private room,80,4,0,No Review,0.0,1,0,16.0
9357,Midtown Pied-a-terre,Tommi,Manhattan,Hell's Kitchen,40.76715,-73.98533,Entire home/apt,150,10,58,2017-08-13 00:00:00,0.49,1,75,13.64
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",Shon,Manhattan,Inwood,40.86482,-73.92106,Private room,44,3,108,2019-06-15 00:00:00,1.11,3,311,11.0
9657,Modern 1 BR / NYC / EAST VILLAGE,Dana,Manhattan,East Village,40.7292,-73.98542,Entire home/apt,180,14,29,2019-04-19 00:00:00,0.24,1,67,12.0
9668,front room/double bed,Ssameer Or Trip,Manhattan,Harlem,40.82245,-73.95104,Private room,50,3,242,2019-06-01 00:00:00,2.04,3,355,12.5
9704,Spacious 1 bedroom in luxe building,Teri,Manhattan,Harlem,40.81305,-73.95466,Private room,52,2,88,2019-06-14 00:00:00,1.42,1,255,17.33
9782,Loft in Williamsburg Area w/ Roof,Andrea,Brooklyn,Greenpoint,40.72219,-73.93762,Private room,55,4,197,2019-06-15 00:00:00,1.65,3,284,11.0
9783,back room/bunk beds,Ssameer Or Trip,Manhattan,Harlem,40.8213,-73.95318,Private room,50,3,273,2019-07-01 00:00:00,2.37,3,359,12.5
10452,Large B&B Style rooms,Angela,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,Private room,70,1,74,2019-05-12 00:00:00,0.66,2,269,35.0
10962,"Lovely room 2 & garden; Best area, Legal rental",Laurie,Brooklyn,South Slope,40.66869,-73.9878,Private room,89,4,168,2019-06-21 00:00:00,1.41,3,340,17.8
11452,Clean and Quiet in Brooklyn,Vt,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,Private room,35,60,0,No Review,0.0,1,365,0.57
11708,Cute apt in artist's home,Tyrome,Brooklyn,Bushwick,40.70186,-73.92745,Entire home/apt,85,2,231,2019-06-22 00:00:00,1.96,2,22,28.33
11943,Country space in the city,Harriet,Brooklyn,Flatbush,40.63702,-73.96327,Private room,150,1,0,No Review,0.0,1,365,75.0
12048,LowerEastSide apt share shortterm 1,Ben,Manhattan,Lower East Side,40.71401,-73.98917,Shared room,40,1,214,2019-07-05 00:00:00,1.81,4,188,20.0
12192,ENJOY Downtown NYC!,Edward,Manhattan,East Village,40.7229,-73.98199,Private room,68,2,245,2019-06-21 00:00:00,2.08,2,96,22.67
12299,Beautiful Sunny Park Slope Brooklyn,Abdul,Brooklyn,South Slope,40.66278,-73.97966,Entire home/apt,120,3,15,2019-05-27 00:00:00,0.39,1,345,30.0
12303,1bdr w private bath. in lofty apt,Yolande,Brooklyn,Fort Greene,40.69673,-73.97584,Private room,120,7,25,2018-09-30 00:00:00,0.23,1,311,15.0
12318,West Side Retreat,Cyn,Manhattan,Upper West Side,40.79009,-73.97927,Private room,135,4,81,2019-06-16 00:00:00,0.69,1,273,27.0
12343,BEST BET IN HARLEM,Earl,Manhattan,Harlem,40.81175,-73.94478,Entire home/apt,150,7,97,2019-06-13 00:00:00,0.84,1,309,18.75
12627,Entire apartment in central Brooklyn neighborhood.,Rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Entire home/apt,150,29,11,2019-06-05 00:00:00,0.49,1,95,5.0
